,FL_DATE,state,latitude,longitude,temperature
281,2023-06-15,Kentucky,37.839333,-84.270018,22.09
282,2023-06-15,Iowa,41.878003,-93.097702,23.2
283,2023-06-15,Nevada,38.80261,-116.419389,14.97
284,2023-06-15,Virginia,37.431573,-78.656894,22.19
285,2023-06-15,Pennsylvania,41.203322,-77.194525,17.75
286,2023-06-15,Arizona,34.048928,-111.093731,19.65
287,2023-06-15,New Jersey,40.058324,-74.405661,20.02
288,2023-06-15,Alaska,63.588753,-154.493062,8.02
289,2023-06-15,Hawaii,19.898682,-155.665857,19.16
290,2023-06-15,Minnesota,46.729553,-94.6859,16.84
291,2023-06-15,Oregon,43.804133,-120.554201,11.22
292,2023-06-15,Arkansas,35.20105,-91.831833,24.13
293,2023-06-15,Mississippi,32.354668,-89.398528,24.88
294,2023-06-15,South Dakota,43.969515,-99.901813,23.04
295,2023-06-15,Oklahoma,35.007752,-97.092877,25.17
296,2023-06-15,Montana,46.879682,-110.362566,11.15
297,2023-06-15,New Hampshire,43.193852,-71.572395,17.99
298,2023-06-15,West Virginia,38.597626,-80.454903,16.6
299,2023-06-15,Kansas,39.011902,-98.484246,23.93
300,2023-06-15,Washington,47.751074,-120.740139,13.27
301,2023-06-15,Utah,39.32098,-111.093731,9.44
302,2023-06-15,North Dakota,47.551493,-101.002012,21.42
303,2023-06-16,Georgia,32.157435,-82.907123,24.07
304,2023-06-16,Virginia,37.431573,-78.656894,23.21
305,2023-06-16,North Carolina,35.759573,-79.0193,23.89
306,2023-06-16,Florida,27.664827,-81.515754,26.81
307,2023-06-16,Maine,45.253783,-69.445469,17.29
308,2023-06-16,Vermont,44.558803,-72.577841,16.48
309,2023-06-16,Missouri,37.964253,-91.831833,23.91
310,2023-06-16,Texas,31.968599,-99.901813,28.37
311,2023-06-16,New York,43.299428,-74.217933,16.3
312,2023-06-16,Michigan,44.314844,-85.602364,14.03
313,2023-06-16,Pennsylvania,41.203322,-77.194525,16.83
314,2023-06-16,Rhode Island,41.580095,-71.477429,20.91
315,2023-06-16,Alabama,32.318231,-86.902298,24.19
316,2023-06-16,Illinois,40.633125,-89.398528,18.65
317,2023-06-16,Kentucky,37.839333,-84.270018,22.2
318,2023-06-16,California,36.778261,-119.417932,25.91
319,2023-06-16,Nevada,38.80261,-116.419389,13.7
320,2023-06-16,Colorado,39.550051,-105.782067,2.59
321,2023-06-16,Massachusetts,42.407211,-71.382437,21.39
322,2023-06-16,Tennessee,35.517491,-86.580447,23.36
323,2023-06-16,Mississippi,32.354668,-89.398528,25.63
324,2023-06-16,Utah,39.32098,-111.093731,8.13
325,2023-06-16,Arkansas,35.20105,-91.831833,26.07
326,2023-06-16,Oklahoma,35.007752,-97.092877,24.03
327,2023-06-16,Indiana,40.551217,-85.602364,16.54
328,2023-06-16,New Jersey,40.058324,-74.405661,19.8
329,2023-06-16,New Hampshire,43.193852,-71.572395,20.51
330,2023-06-16,South Carolina,33.836081,-81.163725,24.02
331,2023-06-16,New Mexico,34.97273,-105.032363,23.55
332,2023-06-16,Washington,47.751074,-120.740139,16.42
333,2023-06-16,Wisconsin,43.78444,-88.787868,15.15
334,2023-06-16,North Dakota,47.551493,-101.002012,17.73
335,2023-06-16,Idaho,44.068202,-114.742041,6.2
336,2023-06-16,Minnesota,46.729553,-94.6859,16.11
337,2023-06-16,Nebraska,41.492537,-99.901813,20.36
338,2023-06-16,Wyoming,43.075968,-107.290284,8.28
339,2023-06-16,Oregon,43.804133,-120.554201,15.92
340,2023-06-16,Montana,46.879682,-110.362566,10.56
341,2023-06-16,Maryland,39.045755,-76.641271,20.4
342,2023-06-17,Maine,45.253783,-69.445469,14.5
343,2023-06-17,Florida,27.664827,-81.515754,27.35
344,2023-06-17,Texas,31.968599,-99.901813,29.02
345,2023-06-17,North Carolina,35.759573,-79.0193,24.03
346,2023-06-17,Washington,47.751074,-120.740139,14.5
347,2023-06-17,Mississippi,32.354668,-89.398528,23.84
348,2023-06-17,Georgia,32.157435,-82.907123,25.53
349,2023-06-17,Michigan,44.314844,-85.602364,16.3
350,2023-06-17,Missouri,37.964253,-91.831833,23.89
351,2023-06-17,Kentucky,37.839333,-84.270018,19.71
352,2023-06-17,Louisiana,31.244823,-92.145024,28.45
353,2023-06-17,Puerto Rico,18.220833,-66.590149,24.74
354,2023-06-17,New Jersey,40.058324,-74.405661,19.74
355,2023-06-17,Virginia,37.431573,-78.656894,22.62
356,2023-06-17,Ohio,40.417287,-82.907123,16.76
357,2023-06-17,Nevada,38.80261,-116.419389,16.16
358,2023-06-17,Nebraska,41.492537,-99.901813,16.89
359,2023-06-17,California,36.778261,-119.417932,27.34
360,2023-06-17,Montana,46.879682,-110.362566,13.04
361,2023-06-17,Colorado,39.550051,-105.782067,0.71
362,2023-06-17,Oklahoma,35.007752,-97.092877,25.4
363,2023-06-17,Idaho,44.068202,-114.742041,7.4
364,2023-06-17,Illinois,40.633125,-89.398528,19.76
365,2023-06-17,Maryland,39.045755,-76.641271,20.7
366,2023-06-18,Georgia,32.157435,-82.907123,25.85
367,2023-06-18,New York,43.299428,-74.217933,16.78
368,2023-06-18,Florida,27.664827,-81.515754,26.31
369,2023-06-18,Texas,31.968599,-99.901813,29.22
370,2023-06-18,Missouri,37.964253,-91.831833,22.17
371,2023-06-18,Tennessee,35.517491,-86.580447,23.11
372,2023-06-18,Alabama,32.318231,-86.902298,24.81
373,2023-06-18,Puerto Rico,18.220833,-66.590149,24.17
374,2023-06-18,Nevada,38.80261,-116.419389,19.66
375,2023-06-18,Illinois,40.633125,-89.398528,22.98
376,2023-06-18,North Carolina,35.759573,-79.0193,23.52
377,2023-06-18,Arizona,34.048928,-111.093731,22.11
378,2023-06-18,Ohio,40.417287,-82.907123,19.33
379,2023-06-18,California,36.778261,-119.417932,27.47
380,2023-06-18,Kentucky,37.839333,-84.270018,21.11
381,2023-06-18,Arkansas,35.20105,-91.831833,25.63
382,2023-06-18,Oklahoma,35.007752,-97.092877,23.6
383,2023-06-18,Michigan,44.314844,-85.602364,19.52
384,2023-06-18,Mississippi,32.354668,-89.398528,25.15
385,2023-06-18,Washington,47.751074,-120.740139,10.31
386,2023-06-18,Oregon,43.804133,-120.554201,10.46
387,2023-06-18,Utah,39.32098,-111.093731,13.38
388,2023-06-18,Montana,46.879682,-110.362566,12.17
389,2023-06-18,Colorado,39.550051,-105.782067,4.02
390,2023-06-18,Iowa,41.878003,-93.097702,22.83
391,2023-06-19,Georgia,32.157435,-82.907123,23.95
392,2023-06-19,Virginia,37.431573,-78.656894,21.72
393,2023-06-19,Tennessee,35.517491,-86.580447,22.52
394,2023-06-19,North Carolina,35.759573,-79.0193,24.64
395,2023-06-19,Florida,27.664827,-81.515754,28.16
396,2023-06-19,Pennsylvania,41.203322,-77.194525,21.02
397,2023-06-19,New York,43.299428,-74.217933,15.8
398,2023-06-19,U.S. Virgin Islands,8.3358,64.8963,28.84
399,2023-06-19,Alabama,32.318231,-86.902298,24.91
400,2023-06-19,Massachusetts,42.407211,-71.382437,16.1
401,2023-06-19,Maryland,39.045755,-76.641271,22.42
402,2023-06-19,South Carolina,33.836081,-81.163725,24.3
403,2023-06-19,Nevada,38.80261,-116.419389,19.25
404,2023-06-19,Missouri,37.964253,-91.831833,22.12
405,2023-06-19,Illinois,40.633125,-89.398528,24.69
406,2023-06-19,Washington,47.751074,-120.740139,9.14
407,2023-06-19,Hawaii,19.898682,-155.665857,17.86
408,2023-06-19,Puerto Rico,18.220833,-66.590149,24.33
409,2023-06-19,California,36.778261,-119.417932,22.47
410,2023-06-19,Michigan,44.314844,-85.602364,20.46
411,2023-06-19,Texas,31.968599,-99.901813,31.02
412,2023-06-19,Wisconsin,43.78444,-88.787868,21.79
413,2023-06-19,Kentucky,37.839333,-84.270018,20.69
414,2023-06-19,Mississippi,32.354668,-89.398528,26.16
415,2023-06-19,Arkansas,35.20105,-91.831833,24.32
416,2023-06-19,Louisiana,31.244823,-92.145024,29.77
417,2023-06-19,New Jersey,40.058324,-74.405661,21.27
418,2023-06-19,Indiana,40.551217,-85.602364,22.77
419,2023-06-19,Oklahoma,35.007752,-97.092877,25.92
420,2023-06-19,Colorado,39.550051,-105.782067,7.17
421,2023-06-19,Minnesota,46.729553,-94.6859,21.03
422,2023-06-19,Utah,39.32098,-111.093731,14.73
423,2023-06-19,Nebraska,41.492537,-99.901813,24.23
424,2023-06-19,Iowa,41.878003,-93.097702,23.54
425,2023-06-19,Wyoming,43.075968,-107.290284,16.86
426,2023-06-20,Georgia,32.157435,-82.907123,23.88
427,2023-06-20,Florida,27.664827,-81.515754,26.28
428,2023-06-20,Massachusetts,42.407211,-71.382437,16.07
429,2023-06-20,Montana,46.879682,-110.362566,10.15
430,2023-06-20,Louisiana,31.244823,-92.145024,28.33
431,2023-06-20,Tennessee,35.517491,-86.580447,21.1
432,2023-06-20,Illinois,40.633125,-89.398528,25.54
433,2023-06-20,Alaska,63.588753,-154.493062,11.48
434,2023-06-20,Washington,47.751074,-120.740139,10.0
435,2023-06-20,Texas,31.968599,-99.901813,33.48
436,2023-06-20,Puerto Rico,18.220833,-66.590149,24.65
437,2023-06-20,Mississippi,32.354668,-89.398528,26.43
438,2023-06-20,Alabama,32.318231,-86.902298,25.3
439,2023-06-20,North Carolina,35.759573,-79.0193,22.6
440,2023-06-20,Colorado,39.550051,-105.782067,7.71
441,2023-06-20,North Dakota,47.551493,-101.002012,24.82
442,2023-06-20,Minnesota,46.729553,-94.6859,25.97
443,2023-06-20,Utah,39.32098,-111.093731,13.57
444,2023-06-20,California,36.778261,-119.417932,19.48
445,2023-06-20,Maryland,39.045755,-76.641271,21.85
446,2023-06-20,South Carolina,33.836081,-81.163725,22.78
447,2023-06-20,Kentucky,37.839333,-84.270018,21.4
448,2023-06-20,Nevada,38.80261,-116.419389,13.28
449,2023-06-20,Virginia,37.431573,-78.656894,20.18
450,2023-06-21,New York,43.299428,-74.217933,18.34
451,2023-06-21,Vermont,44.558803,-72.577841,18.07
452,2023-06-21,Georgia,32.157435,-82.907123,22.12
453,2023-06-21,Texas,31.968599,-99.901813,33.17
454,2023-06-21,Kansas,39.011902,-98.484246,24.05
455,2023-06-21,Florida,27.664827,-81.515754,25.87
456,2023-06-21,Colorado,39.550051,-105.782067,8.57
457,2023-06-21,South Carolina,33.836081,-81.163725,21.67
458,2023-06-21,Missouri,37.964253,-91.831833,23.89
459,2023-06-21,California,36.778261,-119.417932,20.5
460,2023-06-21,North Carolina,35.759573,-79.0193,21.05
461,2023-06-21,Virginia,37.431573,-78.656894,18.11
462,2023-06-21,Massachusetts,42.407211,-71.382437,16.42
463,2023-06-21,Utah,39.32098,-111.093731,12.39
464,2023-06-21,Minnesota,46.729553,-94.6859,25.1
465,2023-06-21,Oklahoma,35.007752,-97.092877,28.54
466,2023-06-21,Mississippi,32.354668,-89.398528,26.06
467,2023-06-21,Arkansas,35.20105,-91.831833,25.67
468,2023-06-21,Alabama,32.318231,-86.902298,23.36
469,2023-06-21,Illinois,40.633125,-89.398528,26.4
470,2023-06-21,North Dakota,47.551493,-101.002012,20.04
471,2023-06-21,Tennessee,35.517491,-86.580447,21.42
472,2023-06-21,South Dakota,43.969515,-99.901813,25.2
473,2023-06-21,Louisiana,31.244823,-92.145024,27.23
