FL_DATE,state,latitude,longitude
2023-02-21,Nevada,38.80261,-116.419389
2023-02-21,South Dakota,43.969515,-99.901813
2023-02-21,North Dakota,47.551493,-101.002012
2023-02-21,Louisiana,31.244823,-92.145024
2023-02-21,Pennsylvania,41.203322,-77.194525
2023-02-21,Illinois,40.633125,-89.398528
2023-02-21,Colorado,39.550051,-105.782067
2023-02-21,Ohio,40.417287,-82.907123
2023-02-21,Virginia,37.431573,-78.656894
2023-02-21,Alabama,32.318231,-86.902298
2023-02-21,Kansas,39.011902,-98.484246
2023-02-22,Kentucky,37.839333,-84.270018
2023-02-22,Ohio,40.417287,-82.907123
2023-02-22,Tennessee,35.517491,-86.580447
2023-02-22,Utah,39.32098,-111.093731
2023-02-22,Wisconsin,43.78444,-88.787868
2023-02-22,New Mexico,34.97273,-105.032363
2023-02-22,Florida,27.664827,-81.515754
2023-02-22,Indiana,40.551217,-85.602364
2023-02-22,Minnesota,46.729553,-94.6859
2023-02-22,New York,43.299428,-74.217933
2023-02-22,Illinois,40.633125,-89.398528
2023-02-22,Colorado,39.550051,-105.782067
2023-02-22,New Jersey,40.058324,-74.405661
2023-02-22,Missouri,37.964253,-91.831833
2023-02-22,Iowa,41.878003,-93.097702
2023-02-22,Michigan,44.314844,-85.602364
2023-02-22,Nebraska,41.492537,-99.901813
2023-02-22,Oregon,43.804133,-120.554201
2023-02-22,California,36.778261,-119.417932
2023-02-22,Texas,31.968599,-99.901813
2023-02-22,Nevada,38.80261,-116.419389
2023-02-22,Washington,47.751074,-120.740139
2023-02-22,Hawaii,19.898682,-155.665857
2023-02-22,Massachusetts,42.407211,-71.382437
2023-02-22,Arizona,34.048928,-111.093731
2023-02-22,Montana,46.879682,-110.362566
2023-02-22,Wyoming,43.075968,-107.290284
2023-02-22,Georgia,32.157435,-82.907123
2023-02-22,North Dakota,47.551493,-101.002012
2023-02-22,Arkansas,35.20105,-91.831833
2023-02-22,Louisiana,31.244823,-92.145024
2023-02-22,Idaho,44.068202,-114.742041
2023-02-22,Pennsylvania,41.203322,-77.194525
2023-02-22,Virginia,37.431573,-78.656894
2023-02-22,Alabama,32.318231,-86.902298
2023-02-22,West Virginia,38.597626,-80.454903
2023-02-22,Oklahoma,35.007752,-97.092877
2023-02-22,Kansas,39.011902,-98.484246
2023-02-22,South Carolina,33.836081,-81.163725
2023-02-22,South Dakota,43.969515,-99.901813
2023-02-22,Maryland,39.045755,-76.641271
2023-02-23,Nebraska,41.492537,-99.901813
2023-02-23,Michigan,44.314844,-85.602364
2023-02-23,New York,43.299428,-74.217933
2023-02-23,Massachusetts,42.407211,-71.382437
2023-02-23,Wisconsin,43.78444,-88.787868
2023-02-23,Louisiana,31.244823,-92.145024
2023-02-23,Minnesota,46.729553,-94.6859
2023-02-23,Colorado,39.550051,-105.782067
2023-02-23,California,36.778261,-119.417932
2023-02-23,Oregon,43.804133,-120.554201
2023-02-23,Washington,47.751074,-120.740139
2023-02-23,Alaska,63.588753,-154.493062
2023-02-23,Nevada,38.80261,-116.419389
2023-02-23,Hawaii,19.898682,-155.665857
2023-02-23,Georgia,32.157435,-82.907123
2023-02-23,Utah,39.32098,-111.093731
2023-02-23,Wyoming,43.075968,-107.290284
2023-02-23,North Dakota,47.551493,-101.002012
2023-02-23,Illinois,40.633125,-89.398528
2023-02-23,Tennessee,35.517491,-86.580447
2023-02-23,Montana,46.879682,-110.362566
2023-02-23,Arizona,34.048928,-111.093731
2023-02-23,South Dakota,43.969515,-99.901813
2023-02-23,Florida,27.664827,-81.515754
2023-02-23,Texas,31.968599,-99.901813
2023-02-23,Ohio,40.417287,-82.907123
2023-02-23,Pennsylvania,41.203322,-77.194525
2023-02-23,New Jersey,40.058324,-74.405661
2023-02-23,Virginia,37.431573,-78.656894
2023-02-23,Connecticut,41.603221,-73.087749
2023-02-23,Idaho,44.068202,-114.742041
2023-02-23,South Carolina,33.836081,-81.163725
2023-02-23,Indiana,40.551217,-85.602364
2023-02-23,Missouri,37.964253,-91.831833
2023-02-23,Vermont,44.558803,-72.577841
2023-02-23,Maryland,39.045755,-76.641271
2023-02-23,Kentucky,37.839333,-84.270018
2023-02-23,Maine,45.253783,-69.445469
2023-02-24,Georgia,32.157435,-82.907123
2023-02-24,New York,43.299428,-74.217933
2023-02-24,Wisconsin,43.78444,-88.787868
2023-02-24,Tennessee,35.517491,-86.580447
2023-02-24,Oregon,43.804133,-120.554201
2023-02-24,Illinois,40.633125,-89.398528
2023-02-24,Arkansas,35.20105,-91.831833
2023-02-24,South Dakota,43.969515,-99.901813
2023-02-24,Texas,31.968599,-99.901813
2023-02-24,California,36.778261,-119.417932
2023-02-24,Alaska,63.588753,-154.493062
2023-02-24,Massachusetts,42.407211,-71.382437
2023-02-24,Nevada,38.80261,-116.419389
2023-02-24,Hawaii,19.898682,-155.665857
2023-02-24,Washington,47.751074,-120.740139
2023-02-24,Colorado,39.550051,-105.782067
2023-02-24,Florida,27.664827,-81.515754
2023-02-24,New Jersey,40.058324,-74.405661
2023-02-24,Michigan,44.314844,-85.602364
2023-02-24,Montana,46.879682,-110.362566
2023-02-24,Utah,39.32098,-111.093731
2023-02-24,Missouri,37.964253,-91.831833
2023-02-24,Pennsylvania,41.203322,-77.194525
2023-02-24,North Dakota,47.551493,-101.002012
2023-02-24,Alabama,32.318231,-86.902298
2023-02-24,Puerto Rico,18.220833,-66.590149
2023-02-24,Indiana,40.551217,-85.602364
2023-02-24,Minnesota,46.729553,-94.6859
2023-02-24,North Carolina,35.759573,-79.0193
2023-02-24,Arizona,34.048928,-111.093731
2023-02-24,New Mexico,34.97273,-105.032363
2023-02-24,Nebraska,41.492537,-99.901813
2023-02-24,Wyoming,43.075968,-107.290284
2023-02-24,Kansas,39.011902,-98.484246
2023-02-24,Rhode Island,41.580095,-71.477429
2023-02-24,Idaho,44.068202,-114.742041
2023-02-24,Vermont,44.558803,-72.577841
2023-02-24,Ohio,40.417287,-82.907123
2023-02-24,Oklahoma,35.007752,-97.092877
2023-02-24,Virginia,37.431573,-78.656894
2023-02-24,Kentucky,37.839333,-84.270018
2023-02-25,Georgia,32.157435,-82.907123
2023-02-25,Alabama,32.318231,-86.902298
2023-02-25,Maine,45.253783,-69.445469
2023-02-25,Virginia,37.431573,-78.656894
2023-02-25,Minnesota,46.729553,-94.6859
2023-02-25,California,36.778261,-119.417932
2023-02-25,South Dakota,43.969515,-99.901813
2023-02-25,Oregon,43.804133,-120.554201
2023-02-25,Texas,31.968599,-99.901813
2023-02-25,Arizona,34.048928,-111.093731
2023-02-25,Massachusetts,42.407211,-71.382437
2023-02-25,Alaska,63.588753,-154.493062
2023-02-25,Nevada,38.80261,-116.419389
2023-02-25,Hawaii,19.898682,-155.665857
